,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4833188057,89,420,13,1607363065663,SOLO,MID
1,KR,4817315574,12,420,13,1606761613374,DUO_SUPPORT,NONE
2,KR,4817342070,875,420,13,1606758980125,DUO_SUPPORT,BOTTOM
3,KR,4817268169,12,420,13,1606756439507,SOLO,BOTTOM
4,KR,4817178388,201,420,13,1606754523375,DUO_SUPPORT,MID
5,KR,4817244444,89,420,13,1606753400349,DUO_SUPPORT,NONE
6,KR,4817241946,12,420,13,1606752107051,DUO_SUPPORT,NONE
7,KR,4813410779,119,450,13,1606625927683,DUO,MID
8,KR,4810859129,875,420,13,1606545035988,DUO_SUPPORT,MID
9,KR,4810813662,89,420,13,1606542509215,DUO_SUPPORT,BOTTOM
10,KR,4810790561,12,420,13,1606540975790,DUO_SUPPORT,NONE
11,KR,4810772137,875,420,13,1606537899008,DUO_SUPPORT,TOP
12,KR,4800602774,81,450,13,1606121658457,DUO,TOP
13,KR,4799362026,98,450,13,1606047695487,DUO_SUPPORT,MID
14,KR,4797948545,40,450,13,1606008891060,DUO_SUPPORT,NONE
15,KR,4797986625,432,450,13,1606007973529,DUO_SUPPORT,NONE
16,KR,4796621520,875,420,13,1605952848984,DUO_SUPPORT,BOTTOM
17,KR,4796048941,350,450,13,1605940726605,DUO_SUPPORT,BOTTOM
18,KR,4780503737,12,420,13,1605258161680,DUO_SUPPORT,NONE
19,KR,4779891465,64,430,13,1605227629035,NONE,JUNGLE
20,KR,4779910944,84,430,13,1605227208570,DUO,NONE
21,KR,4779258845,12,420,13,1605191301800,DUO_SUPPORT,NONE
22,KR,4776724394,43,440,13,1605090436277,DUO_SUPPORT,BOTTOM
23,KR,4776750030,235,430,13,1605088346993,DUO_SUPPORT,BOTTOM
24,KR,4775794692,91,430,13,1605075112845,SOLO,MID
25,KR,4775822809,235,430,13,1605074059084,DUO_SUPPORT,NONE
26,KR,4775790064,39,430,13,1605072132091,SOLO,MID
27,KR,4775785357,64,430,13,1605068810630,NONE,JUNGLE
28,KR,4772233064,202,900,13,1604905409340,NONE,JUNGLE
29,KR,4769224295,202,900,13,1604780744188,DUO_SUPPORT,MID
